stn,Year,Month,Monthly Rainfall(mm),Evapotranspiration (mm),Earth Skin Temperature,Water depth(m)
RSM-24,2017,11,109.7,100.7,25.61,1.4
RSM-24,2017,12,177.5,127.2,24.86,1.7
RSM-24,2018,1,38.4,117.5,24.8,2
RSM-24,2018,2,433.9,112.1,27.31,2
RSM-24,2018,3,236.3,72.6,28.81,1.81
RSM-24,2018,4,118.1,57,29.97,1.54
RSM-24,2018,5,35,102.9,27.19,1.34
RSM-24,2018,6,53.2,87,27.23,1.16
RSM-24,2018,7,127.7,65,28.28,0.94
RSM-24,2018,8,246.8,63,28.76,0.63
RSM-24,2018,9,4.6,62,30.02,0.41
RSM-24,2018,10,0.4,63.8,26.46,0.47
RSM-24,2018,11,38.8,112.3,25.26,0.93
RSM-24,2018,12,162.6,105.3,24.55,1.54
RSM-24,2019,1,0,142.2,24.12,2
RSM-24,2019,2,381,99,26.81,2.06
RSM-24,2019,3,267,72.3,30.16,1.86
RSM-24,2019,4,376.9,43.9,32.26,1.54
RSM-24,2019,5,76.5,79.6,31.4,1.29
RSM-24,2019,6,2.4,80.8,30.88,1.1
RSM-24,2019,7,121.5,50.1,30.72,0.94
RSM-24,2019,8,38.6,43.9,28.66,0.78
RSM-24,2019,9,4.5,60.9,27.99,0.62
RSM-24,2019,10,1,61.6,26.27,0.47
RSM-24,2019,11,66.4,96.2,25.96,0.97
RSM-24,2019,12,108.7,102,24.92,1.34
RSM-28,2017,1,142.2,92.4,25.17,2.65
RSM-28,2017,2,139.3,101.9,26.35,2.89
RSM-28,2017,3,236.9,123,26.82,3.14
RSM-28,2017,4,97.7,60.4,29.33,3.5
RSM-28,2017,5,43.5,109.2,28.77,3.94
RSM-28,2017,6,130.2,108.5,28.15,4.37
RSM-28,2017,7,58.6,81.7,28.77,4.62
RSM-28,2017,8,140.7,84.6,28.47,4.59
RSM-28,2017,9,7.7,110.9,27.85,4.33
RSM-28,2017,10,10.5,88.8,27.58,3.95
RSM-28,2017,11,105.4,100.6,25.34,3.5
RSM-28,2017,12,162.6,105.6,24.57,3.05
RSM-28,2018,1,33.9,119.1,24.33,2.6
RSM-28,2018,2,434.6,98.9,26.78,2.2
RSM-28,2018,3,226.1,85.3,28.14,1.9
RSM-28,2018,4,125.5,69.8,29.18,1.65
RSM-28,2018,5,29.6,99.9,26.91,1.5
RSM-28,2018,6,54.5,96.8,26.3,1.38
RSM-28,2018,7,142.6,92,26.88,1.2
RSM-28,2018,8,273.6,85.1,27.6,0.92
RSM-28,2018,9,6.5,69.4,28.95,0.72
RSM-28,2018,10,0.4,74.1,26.12,0.85
RSM-28,2018,11,36.4,98.6,25.14,1.43
RSM-28,2018,12,155.7,100,24.27,2.13
RSM-28,2019,1,0,116.1,24.12,2.6
RSM-28,2019,2,406.3,87.8,26.66,2.51
RSM-28,2019,3,254.3,90.4,29.85,2.12
RSM-28,2019,4,365.3,48,31.93,1.65
RSM-28,2019,5,75.2,90.8,30.75,1.38
RSM-28,2019,6,2.7,115.6,29.85,1.26
RSM-28,2019,7,138.4,96.1,29.75,1.2
RSM-28,2019,8,36.1,77.2,27.98,1.11
RSM-28,2019,9,7.7,78.1,27.41,0.99
RSM-28,2019,10,1.1,71.1,25.9,0.85
RSM-28,2019,11,71.7,108.7,25.7,1.52
RSM-28,2019,12,117.2,107.1,24.78,2.02
RSM-30,2017,1,145.1,122.7,25.17,3.3
RSM-30,2017,2,142.2,145.2,26.35,2.94
RSM-30,2017,3,235.7,100.3,26.82,2.75
RSM-30,2017,4,105,77.4,29.33,2.8
RSM-30,2017,5,46.3,99.9,28.77,3.19
RSM-30,2017,6,137,112.4,28.15,3.66
RSM-30,2017,7,59.2,78.9,28.77,3.86
RSM-30,2017,8,148.6,87.1,28.47,3.57
RSM-30,2017,9,8.8,103.8,27.85,3.07
RSM-30,2017,10,11.3,83.6,27.58,2.76
RSM-30,2017,11,101.8,98.9,25.34,2.9
RSM-30,2017,12,160.4,138.5,24.57,3.27
RSM-30,2018,1,31.7,130.9,24.33,3.58
RSM-30,2018,2,429.9,118.1,26.78,3.58
RSM-30,2018,3,221.8,119.2,28.14,3.4
RSM-30,2018,4,132.9,68.6,29.18,3.2
RSM-30,2018,5,29.3,91.1,26.91,3.13
RSM-30,2018,6,57.2,84.3,26.3,2.99
RSM-30,2018,7,144,65,26.88,2.54
RSM-30,2018,8,291.6,73.6,27.6,1.63
RSM-30,2018,9,8,62.9,28.95,0.74
RSM-30,2018,10,0.5,74.4,26.12,0.5
RSM-30,2018,11,35.9,103.1,25.14,1.28
RSM-30,2018,12,155.6,109.5,24.27,2.52
RSM-30,2019,1,0,152.4,24.12,3.58
RSM-30,2019,2,419.6,99.3,26.66,3.85
RSM-30,2019,3,253,76.9,29.85,3.61
RSM-30,2019,4,369.2,56.7,31.93,3.2
RSM-30,2019,5,70.6,112.9,30.75,2.97
RSM-30,2019,6,2.6,98,29.85,2.8
RSM-30,2019,7,151.8,73.2,29.75,2.54
RSM-30,2019,8,37,78.2,27.98,2.02
RSM-30,2019,9,9.8,99.1,27.41,1.29
RSM-30,2019,10,1.1,74.1,25.9,0.5
RSM-30,2019,11,74.2,102.5,25.7,1.42
RSM-30,2019,12,118.7,87.4,24.78,2.43
RSM-41,2017,1,142.2,97.8,25.08,3.2
RSM-41,2017,2,134.6,97.1,25.81,3.24
RSM-41,2017,3,233.3,74.4,27.16,3.31
RSM-41,2017,4,79.8,78.1,30.41,3.45
RSM-41,2017,5,39.3,85.7,29.49,3.65
RSM-41,2017,6,110.2,76.6,28.98,3.78
RSM-41,2017,7,58.1,74.6,29.77,3.64
RSM-41,2017,8,123.7,87.5,28.98,3.13
RSM-41,2017,9,5.4,104.8,28.43,2.51
RSM-41,2017,10,10.2,58,28.23,2.15
RSM-41,2017,11,114.3,91.3,25.61,2.27
RSM-41,2017,12,171,103.6,24.86,2.72
RSM-41,2018,1,42.1,101,24.8,3.25
RSM-41,2018,2,429.5,102.8,27.31,3.64
RSM-41,2018,3,239.8,81.3,28.81,3.81
RSM-41,2018,4,109.4,58.8,29.97,3.8
RSM-41,2018,5,31.8,94.6,27.19,3.57
RSM-41,2018,6,48.4,68.8,27.23,3.13
RSM-41,2018,7,127.5,54.2,28.28,2.54
RSM-41,2018,8,236.6,54.3,28.76,1.82
RSM-41,2018,9,3.7,79.1,30.02,1.26
RSM-41,2018,10,0.4,70.4,26.46,1.13
RSM-41,2018,11,40.9,117.3,25.26,1.62
RSM-41,2018,12,157.9,97.5,24.55,2.43
